"授業名","担当教員","副担当","登録コード","講義期間","曜日・時限","単位数","講義室","対象学生"
"インタラクションデザイン学演習(16T以降)","柳瀬　亮太","NULL","T5B06300","前期","木曜･５時限","1","工C3-203教室","NULL"
"美術・デザイン史(16T以降)","羽藤　広輔","NULL","T5B07300","前期","金曜･１時限","2","工C3-100教室","建築学科３年生"
"プロダクトマネジメント演習(16T以降)","高村　秀紀","NULL","T5B08300","後期","水曜･２時限","1","工C3-100教室","建築学科3年生"
"プロダクトコーディネイト学(16T以降)","中谷　岳史","NULL","T5B09300","前期","金曜･５時限","2","工W2-403教室","NULL"
"デザイン心理(16T以降)","柳瀬　亮太","NULL","T5B10300","後期","金曜･２時限","2","工W5-23教室","建築学科3年生"
"データサイエンス基礎","藤原　洋志","NULL","T8001200","前期(集中)","集中･不定期","1","NULL","NULL"
"データエンジニアリング基礎","和﨑　克己","NULL","T8002200","前期(集中)","集中･不定期","1","NULL","工学部　２・３年生"
"ＡＩ基礎","小林　一樹","NULL","T8003200","後期(集中)","集中･不定期","1","NULL","工学部・全学科・2年生，3年生"
"物質化学概論(建築)(16T以降)","影島　洋介 他","NULL","T9001210","前期（随時）","月曜･６時限","1","NULL","建築学科２年生"
"物質化学概論(水土)(16T以降)","影島　洋介 他","NULL","T9001220","前期（随時）","月曜･６時限","1","NULL","水環境・土木工学科２年生"
"物質化学概論(機械)(16T以降)","影島　洋介 他","NULL","T9001230","後期（随時）","月曜･６時限","1","NULL","機械システム工学科２年生"
"物質化学概論(電情)(16T以降)","影島　洋介 他","NULL","T9001240","後期（随時）","月曜･６時限","1","NULL","電子情報システム工学科２年生"
"電子情報システム概論(水土)(16T以降)","佐藤　真平 他","NULL","T9002210","前期（随時）","月曜･６時限","1","NULL","水環境・土木工学科２年生"
"電子情報システム概論(建築)(16T以降)","佐藤　真平 他","NULL","T9002220","前期（随時）","月曜･６時限","1","NULL","建築学科２年生"
"電子情報システム概論(物化)(16T以降)","佐藤　真平 他","NULL","T9002230","後期（随時）","月曜･６時限","1","NULL","物質化学科２年生"
"電子情報システム概論(機械)(16T以降)","佐藤　真平 他","NULL","T9002240","後期（随時）","月曜･６時限","1","NULL","機械システム工学科２年生"
"水環境・土木工学概論(電情)(16T以降)","林　卓哉 他","NULL","T9003210","前期（随時）","月曜･６時限","1","NULL","学部2年"
"水環境・土木工学概論(機械)(16T以降)","林　卓哉 他","NULL","T9003220","前期（随時）","月曜･６時限","1","NULL","学部2年"
"水環境・土木工学概論(建築)(16T以降)","林　卓哉 他","NULL","T9003230","後期（随時）","月曜･６時限","1","NULL","学部2年"
"水環境・土木工学概論(物化)(16T以降)","林　卓哉 他","NULL","T9003240","後期（随時）","月曜･６時限","1","NULL","学部2年"
"機械システム概論(物化)(16T以降)","榊　和彦 他","NULL","T9004210","前期（随時）","月曜･６時限","1","NULL","NULL"
"機械システム概論(電情)(16T以降)","榊　和彦 他","NULL","T9004220","前期（随時）","月曜･６時限","1","NULL","NULL"
"機械システム概論(水土)(16T以降)","榊　和彦 他","NULL","T9004230","後期（随時）","月曜･６時限","1","NULL","NULL"
"機械システム概論(建築)(16T以降)","榊　和彦 他","NULL","T9004240","後期（随時）","月曜･６時限","1","NULL","NULL"
"建築・デザイン概論(機械)(16T以降)","羽藤　広輔 他","松田　昌洋 中谷　岳史 遠藤　洋平 佐倉　弘祐","T9005210","前期（随時）","月曜･６時限","1","NULL","機械システム工学科２年生"
"建築・デザイン概論(物化)(16T以降)","羽藤　広輔 他","松田　昌洋 中谷　岳史 遠藤　洋平 佐倉　弘祐","T9005220","前期（随時）","月曜･６時限","1","NULL","物質化学科２年生"
"建築・デザイン概論(電情)(16T以降)","羽藤　広輔 他","松田　昌洋 中谷　岳史 遠藤　洋平 佐倉　弘祐","T9005230","後期（随時）","月曜･６時限","1","NULL","電子情報システム工学科２年生"
"建築・デザイン概論(水土)(16T以降)","羽藤　広輔 他","松田　昌洋 中谷　岳史 遠藤　洋平 佐倉　弘祐","T9005240","後期（随時）","月曜･６時限","1","NULL","水環境・土木工学科２年生"
